id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
973,DROGARIA ACHUTTI LTDA - EPP,"AVENIDA SERTORIO, 3837 - LOJA 1",ALVORADA,RS
974,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"JERONIMO COELHO, 84",FLORIANOPOLIS,SC
975,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV FERREIRA VIANA, 1526, LOJA 04, 05 E 06",PELOTAS,RS
976,CIA LATINO AMERICANA DE MEDICAMENTOS,"AV. GETULIO DORNELES VARGAS, 532, N",CHAPECO,SC
977,FARMÁCIA VALE VERDE LTDA,RUA SENADOR SOUZA NAVES N° 814,LONDRINA,PR
978,ALVORECER FARMACIA LTDA ME,"praca FIRMO MENDES DE QUEIROZ, 490, SALA",PRUDENTOPOLIS,PR
979,QUEIROZ E COMASSETO LTDA ME,"RUA GAL PORTINHO, 1450",SAO LUIZ GONZAGA,RS
980,LATSCH & BOCHI LTDA,AV BORGES DE MEDEIROS 1402,ITAQUI,RS
981,G. ANIZELLIE CIA LTDA,"RUA NOVE, Nº 721",PRIMEIRO DE MAIO,PR
982,DROGARIA MAIS ECONOMICA S.A.,Av PRESIDENTE CASTELO BRANCO 10,IGREJINHA,RS
983,VALMIR ANTONIO CASSULI & CIA LTDA,"AV PRESIDENTE EPITACIO, 708 - SALA",QUATRO PONTES,PR
984,EDEZIO BALLAROTI & CIA LTDA,"AVENIDA PRESIDENTE VARGAS, Nº 20",ASTORGA,PR
985,DROGARIA GRANDO LTDA,"LGO DA MATRIZ, 149",MARCELINO RAMOS,RS
986,FARMACIA E DROGARIA NISSEI LTDA,"RUA BANDEIRANTES, 697",LONDRINA,PR
987,"SCHIRMER, MARTINS & CIA LTDA","RUA TITO BECCON, 617",SANTIAGO,RS
988,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA BARAO DO RIO BRANCO, 587",SANTA VITORIA DO PALMAR,RS
989,TERRA SANTA COM DE MEDICAMENTOS LTDA,AV DOM PEDRO I 2552 SETOR 05,JARU,RO
990,ELLA DROGARIA E FARMACIA LIMITADA - ME,RUA BUENOS AIRES 431 LOJA 06,PORTO ALEGRE,RS
991,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA ASSIS BRASIL, 2434 - LOJA 1",PORTO ALEGRE,RS
992,DISTRIBUIDORA BIG BENN S.A,"COMERCIAL DIONISIO BENTES, 	S/N",TOME-ACU,PA
993,FARMÁCIAS E DROGARIAS NISSEI LTDA,AV HIGIENÓPOLIS 1198,LONDRINA,PR
994,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA BRASIL, 3565 - QUADRA17",MARINGA,PR
995,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV PARAGUASSU 1744 LOJA: 01,CAPAO DA CANOA,RS
996,FARMACIA DIVISA SUL LTDA,"AV. DIVISA, 1264",PORTO ALEGRE,RS
997,CORDEIRO E CORDEIRO LTDA - ME,AV DORIVAL C L DE OLIVEIRA 3630 SALA,GRAVATAI,RS
998,MORAES & QUIRINO LTDA - EPP,"AV BRASIL, Nº 1282",CAMBARA,PR
999,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA JORGE ZIPPERER, 38 - SALA 01",RIO NEGRINHO,SC
1000,DROGARIA BATTISTELLA LTDA. - ME,"AVENIDA GETULIO VARGAS, 576, SALA 2",ABELARDO LUZ,SC
1001,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV JULIO DE CASTILHOS 549,TRES PASSOS,RS
1002,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA DO COMERCIO 1155,TAPEJARA,RS
1003,TERESINHA SALETE BRACIAK - ME,"RUA ANGELO DALZOTTO, 723 - SALA 01",TAPEJARA,RS
1004,CARLIN FELIPE DE ANDRADE ME,"AVENIDA NOSSA SENHORA APARECIDA, 10",ANAPU,PA
1005,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA MARECHAL DEODORO DA FONSECA, 855 - SALA 01",JARAGUA DO SUL,SC
1006,JOTAMEDI LTDA EPP,"SIDERPITA, 56",PITANGUI,MG
1007,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA JOAO CORREA, 735 - LOJA 02",IGREJINHA,RS
1008,GORAS & SOMMER LTDA - ME,"R VEREADOR WADISLAU BUGALSKI, 4287",ALMIRANTE TAMANDARE,PR
1009,SCHMIDT DIAS LTDA ME,AVENIDA LUIZ DE CAMOES 1325,LAGES,SC
1010,FARMACIA E DROGARIA NISSEI S.A.,"AVENIDA DUQUE DE CAXIAS, 17-61",BAURU,SP
1011,FARMACIA GRASIANE LTDA,MAJOR J A DE CAMPOS,SANTO AMARO DA IMPERATRIZ,SC
1012,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA ASSIS BRASIL Nº 734,PORTO ALEGRE,RS
1013,DROGASIDER COMERCIO DE MEDICAMENTOS E MANIPULACAO LTDA - ME,"AVENIDA DOS IMIGRANTES, 1992",CRICIUMA,SC
1014,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA SILVA SO Nº 371 LOJA 02,PORTO ALEGRE,RS
1015,R CAPELASSO & CIA LTDA ME,"AV PRES GETULIO VARGAS, 253",MUNHOZ DE MELO,PR
1016,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA GENERAL BACELAR, 433",RIO GRANDE,RS
1017,MAFE MEDICAMENTOS E MANIPULACAO LTDA - ME,"RUA JULIO DE CASTILHOS, 109",JAGUARAO,RS
1018,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA BRASILIA, Nº 6337",CURITIBA,PR
1019,FARMÁCIA JUAL LTDA EPP,AVENIDA BENTO DA CRUZ Nº 689,PENAPOLIS,SP
1020,FARMACIA LIDERFARMA DE NOVA OLIMPIA LTDA - ME,"R MATO GROSSO, 622",NOVA OLIMPIA,PR
1021,FARMACIA INHACOR M.V.C COMERCIAL DE MEDICAMENTOS LTDA,"RUA DOM PEDRO II, 2124",SANTO CRISTO,RS
1022,FARMACIA E DROGARIA NISSEI LTDA,"RUA PROFESSOR JOAO CANDIDO, 77",LONDRINA,PR
1023,FARMACIA INHACOR M.V.C COMERCIAL DE MEDICAMENTOS LTDA,"R DR FRANCISCO TIMM, 656, SL 01",SANTA ROSA,RS
1024,WILLRICH CIA LTDA,"AV CONSUL CARLOS RENAUX, 48",BRUSQUE,SC
1025,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA MARCOLINO MARTINS CABRAL, 927",TUBARAO,SC
1026,GLEICY EVANGELISTA ZACHEO & CIA LTDA,"CARAMELA DUTRA, Nº 413",JATAIZINHO,PR
1027,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA JOAO PESSOA, 30 - LOJA 01",SANTANA DO LIVRAMENTO,RS
1028,DISTRIBUIDORA BIG BENN LTDA,"AV SENADOR LEMOS, 4336",BELEM,PA
1029,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA SÃO LEOPOLDO JACOMEL, Nº 12485",PINHAIS,PR
1030,H. LANGE & CIA LTDA. ME,"GENERAL FLORES DA CUNHA, 769",SINIMBU,RS
1031,FARMACIA GORINI LTDA,"R. DOS IMIGRANTES, 357, SALA 03",NOVA VENEZA,SC
1032,DROGARIA MAIS ECONOMICA LTDA,"JULIO DE CASTILHOS, 2595",CAXIAS DO SUL,RS
1033,FARMACIA SANTO ANTONIO LTDA ME,"PRACA ANITA GARIBALDI, 257",URUSSANGA,SC
1034,DROGARIA MAIS ECONOMICA LTDA,"RUA PRESIDENTE GETULIO VARGAS, 1620",ALVORADA,RS
1035,FARMACIA TRIANGULO LTDA - ME,"EST BALTAZAR O GARCIA, 267",PORTO ALEGRE,RS
1036,FARMACIA E DROGARIA NISSEI LTDA,"RUA ERMELINO DE LEAO, 703, LJ T 54/55/56",PONTA GROSSA,PR
1037,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA DESEMBARGADOR WESTPHALEN, 65",CURITIBA,PR
1038,TRAJANO E CIA LTDA,RUA MATOS COSTA N° 62,PORTO UNIAO,SC
1039,DROGARIA MAIS ECONOMICA S.A.,RUA BOQUEIRAO 396,CANOAS,RS
1040,UNIMED ERECHIM-COOPERATIVA DE SERVICOS DE SAUDE LTDA,"AVENIDA BORGES DE MEDEIROS, 615 - FARMACIA",GETULIO VARGAS,RS
1041,CIA LATINO AMERICANA DE MEDICAMENTOS,"Rua ANGELO RUBINI, 1110, Sala 03",JARAGUA DO SUL,SC
1042,DROGARIA E FARMÁCIA GEMBALLA LTDA.,"AVENIDA SETE DE SETEMBRO, Nº 50",RIO DO SUL,SC
1043,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV DOM JOAO BECKER, 170",SAO LEOPOLDO,RS
1044,FARMACIA SAO PEDRO LTDA,AV 25 DE JULHO 1402,FLORES DA CUNHA,RS
1045,FARMACIA DALMOLIM LTDA - ME,"R PAULINO BURIGO, 36",COCAL DO SUL,SC
1046,TRAJANO E CIA LTDA,RUA XV DE NOVEMBRO Nº 5560,GUARAPUAVA,PR
1047,FARMACIA E DROGARIA NISSEI LTDA,"RUA ROQUE VERNALHA, 105",MATINHOS,PR
1048,DISTRIBUIDORA BIG BENN LTDA,AVENIDA MARECHAL DEODORO DA FONSECA - S/N,BELEM,PA
1049,TREVISOL & CIA LTDA ME,"RUA ALBERTO TRAJANO, 142",SANTA ROSA DO SUL,SC
1050,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA DO PRINCIPE, 458",JOINVILLE,SC
1051,DROGARIA MAIS ECONOMICA S.A.,AVENIDA DUQUE DE CAXIAS 606A,PELOTAS,RS
1052,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA DR. MAURICIO CARDOSO Nº 833 SALA 102,NOVO HAMBURGO,RS
1053,DROGARIA SEREIA LTDA,AV. PRESIDENTE LUCENA Nº 1365,IVOTI,RS
1054,DROGARIA GUAJUVIRA LTDA,"AZENHA, Nº 815, 817",PORTO ALEGRE,RS
1055,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA OLAVO BARRETO VIANA Nº 36 LOJA 126,PORTO ALEGRE,RS
1056,FARMACIA CENTRAL ROCASALENSE LTDA - EPP,"RUA GENERAL DALTRO FILHO, 897 - SALA 01",ROCA SALES,RS
1057,BEIRAL & URQUIDI LTDA ME,"Rua PRESIDENTE BERNARDES, 3292, SALA",CASCAVEL,PR
1058,CLAUDIA DAL PIVA GALINA - ME,"RUA JOÃO PESSOA, N° 2231, SALA 1",PINHALZINHO,SC
1059,MARIA DE LOURDES FORLIN MEURER ME,"RUA DUQUE DE CAXIAS, Nº 666",SALVADOR DO SUL,RS
1060,DROGARIA MAIS ECONOMICA LTDA,"RIO BRANCO, 16, SALA 01/02",TORRES,RS
1061,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA BORGES DE MEDEIROS, Nº 1419",GRAMADO,RS
1062,SAMUEL MARTINS DELGADO JUNIOR EPP,"AV VISCONDE CHARLES DE LAGUICHE, 412, TERREO",CANDIDO DE ABREU,PR
1063,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV SILVA PAES 298 LOJA 01 ESQUINA COM A,RIO GRANDE,RS
1064,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA SETE DE SETEMBRO, 1265",CACHOEIRA DO SUL,RS
1065,LEANDRO M DA SILVA TAVARES,"RUA BANDEIRANTES, 125",ALVORADA,RS
1066,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV BRASIL 2950 LOJA: TERREA,CAMPO BOM,RS
1067,COMERCIAL DE MEDICAMENTOS CRUZEIRO LTDA,"RUA LUIZ MICHELON, Nº 629",CAXIAS DO SUL,RS
1068,FARMACIA NOSSA SENHORA DO ROCIO LTDA ME,"R VITORIA REGIA, Nº311",LONDRINA,PR
1069,FARMACIA E DROGARIA KAWAFARMA LTDA EPP,"AV CAPITAO INDIO BANDEIRA, 1480",CAMPO MOURAO,PR
1070,DROGARIA GUAJUVIRA LTDA,"BOQUEIRAO, Nº 369",CANOAS,RS
1071,BERCOT & SANTOS LTDA - EPP,"AV. CASTELO BRANCO, 1376",FIGUEIRA,PR
1072,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV BALTAZAR DE OLIVEIRA GARCIA, 845",PORTO ALEGRE,RS
1073,FARMÁCIA GEREMIAS LTDA,"RUA ANTÔNIO PINTO, Nº 117",VIDEIRA,SC
1074,LINHARES & CASTRO LTDA,"XV DE NOVEMBRO, 98, PREDIO",ANTONINA,PR
1075,MANSSUR DROGARIA E FARMACIA LTDA,"RUA CORONEL MUSSNICH, Nº 557 SALA 105",ESTRELA,RS
1076,DISTRIBUIDORA BIG BENN S.A,"TV RUI BARBOSA, 530",MAE DO RIO,PA
1077,DISTRIBUIDORA BIG BENN LTDA,"PRESIDENTE VARGAS, 3090",CASTANHAL,PA
1078,FARMACIA E DROGARIA CEFARMA LTDA - ME,AV GETULIO VARGAS 1430,CHAPECO,SC
1079,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"RUA VEREADOR JOSE BERNARDINHO BUENO, 271",MOGI GUACU,SP
1080,FARMACIA AMANDA LTDA,"BRASILIA, 6327",CURITIBA,PR
1081,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA JULIO DE CASTILHOS, 1849",CAXIAS DO SUL,RS
1082,E A DOS SANTOS & CIA LTDA,"RUA PEABIRU, 549",CRUZEIRO DO OESTE,PR
1083,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA PROFESSOR JOÃO ORESTES DE ARAUJO, Nº 601",GAROPABA,SC
1084,FARMACIA ISAFARMA LTDA,"R. CESALTINA M. AFONSO, 26",SAO JORGE DO PATROCINIO,PR
1085,DUARTE & MORALES LTDA,RUA GENERAL OSÓRIO  Nº 1387,CANGUCU,RS
1086,FARMACIA VIDAL LTDA EPP,"AV.SEVERIANO DE ALMEIDA, 480",GETULIO VARGAS,RS
1087,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. VENÂNCIO AIRES Nº399,PORTO ALEGRE,RS
1088,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,avenida,CURITIBA,PR
1089,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,R PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA 1572,CURITIBA,PR
1090,DROGARIA MAIS ECONOMICA LTDA,"RUA INDEPENDENCIA, 893",SAO LEOPOLDO,RS
1091,ADENIR PICCININ,RUA HERCULANO H ZANUZZO 426,SEARA,SC
1092,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA MARECHAL FLORIANO, 1524",TAQUARA,RS
1093,FARMACIA CORACAO DE JESUS DE BOM SUCESSO LTDA - ME,"RUA EMILIO PARRA, 293",BOM SUCESSO,PR
1094,FARMACIA E DROGARIA NISSEI LTDA,RUA VOLUNTARIOS DA PATRIA 11,CURITIBA,PR
1095,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA PRESIDENTE JOAO GOULART, 160 - SALA 01",ARARANGUA,SC
1096,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV CHUI, 75",PORTO ALEGRE,RS
1097,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA MUCIO TEIXEIRA 680 103/104,PORTO ALEGRE,RS
1098,DROGARIA BRIGADEIRO TOBIAS LTDA - ME,"AVENIDA BANDEIRANTES, Nº 4006",SOROCABA,SP
1099,MAHLKE & MAIA LTDA - ME,"JULIO DE CASTILHOS, Nº 1558",RESTINGA SECA,RS
1100,PAULO CESAR MANNRICH,"RUA DEZ DE JUNHO, 256",GUABIRUBA,SC
1101,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA LUIZ DE CAMOES, 300",LAGES,SC
1102,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA ABEL SCUISSIATO, 541, LOJA B",COLOMBO,PR
1103,DROGARIA GENERICO FARMA LTDA - ME,"R IZIDIO GALDINO DA SILVA, 968",BOA VISTA,RR
1104,CIA LATINO AMERICANA DE MEDICAMENTOS,"Rua Coronel Pedro Benedet, 460",CRICIUMA,SC
1105,CVS ROSA,"RUA DR. PIRES PORTO, 346",LAVRAS DO SUL,RS
1106,FARMACIA E DROGARIA NISSEI LTDA,"RUA PROFESSOR JOAO FALARZ, 1160",CURITIBA,PR
1107,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA SAO LUIS REI DE FRANCA, 14",SAO LUIS,MA
1108,DROGARIA MAIS ECONOMICA LTDA,"MARECHAL FLORIANO PEIXOTO, 62",PORTO ALEGRE,RS
1109,FARMACIA E DROGARIA NISSEI S.A.,"AVENIDA PREFEITO ERASTO GAERTNER, 387",CURITIBA,PR
1110,PEDRO RAIMUNDO PINTO ME,AV BRASIL 309,URAI,PR
1111,DROGARIA BOM RETIRO LTDA,"MATHIAS KLEIN, Nº 44",BOM RETIRO DO SUL,RS
1112,DROGARIA E FARMACIA CATARINENSE S/A,RUA DR. JOAO COLIN Nº 2875  SALA 03,JOINVILLE,SC
1113,DROGARIA E FARMACIA MED SILVA LTDA ME,PREF JOAO O DE ARAUJO 1200,GAROPABA,SC
1114,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA MARECHAL DEODORO, 952",CONCORDIA,SC
1115,DISTRIBUIDORA BIG BENN LTDA,"FERNANDO GUILHON, Nº 477",MARITUBA,PA
1116,FARMACIA SAO DOMINGOS LTDA,"ERASTO GAERTNER, Nº 875",CURITIBA,PR
1117,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AVENIDA JOSE BONIFACIO 382 LOJA 01,TORRES,RS
1118,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA LEDIO JOAO MARTINS, 326",SAO JOSE,SC
1119,JULIA MARIKO SUZUKI MARTIN & CIA LTDA - ME,"AV.LONDRINA, 378, TERREO",NOVA LONDRINA,PR
1120,DROGARIA REZENDE SILVEIRA LTDA - ME,"PRACA DOMICIANO DUTRA, 145 - A",SANTO ANTONIO DO AMPARO,MG
1121,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"AV. GUILHERME SCHELL, 6750",CANOAS,RS
1122,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA FELIPE SCHMIDT, 652 - Loja 02",FLORIANOPOLIS,SC
1123,FARMACIA CLINIFARMA LTDA - ME,R CELSO RAMOS,BENEDITO NOVO,SC
1124,CIRCULO OPERARIO DE SAO MARCOS,"RUA 15 DE OUTUBRO, S/N PREDIO",SAO MARCOS,RS
1125,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUBEM BENTO ALVES, 785",CAXIAS DO SUL,RS
1126,DROGARIA DROGAMIGA S B O LTDA ME,"R. ESPANHA, 571",SANTA BARBARA DOESTE,SP
1127,KRIEGER & CIA LTDA - EPP,"AV NEREU RAMOS, 135 - SALA 02",TIMBO,SC
1128,M. A. MARTINS E MARTINS LTDA,"AV 7 DE SETEMBRO, Nº 488",ENGENHEIRO BELTRAO,PR
1129,DROGARIA MAIS ECONOMICA S.A.,av GUILHERME SHELL 6750,CANOAS,RS
1130,DISTRIBUIDORA BIG BENN S.A,"AVENIDA DUQUE DE CAXIAS, 622",BELEM,PA
1131,A GERONIMO & CIA LTDA,"AVENIDA SAO PAULO, 535",FORMOSA DO OESTE,PR
1132,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA SALDANHA MARINHO, 1777, Sala 01 Primo Schopping",GUARAPUAVA,PR
1133,FARMACIA RICAFARMA LTDA,R GENERAL OSORIO 57 CENTRO,SAO JOAO,PR
1134,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA INDEPENDENCIA, 1604",PALMEIRA DAS MISSOES,RS
1135,RUTH MARIA GOMES MARQUES - ME,"AVENIDA SILVA JARDIM, 231 - SALA 4",TORRES,RS
1136,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA HORACIO KLABIN, 310",TELEMACO BORBA,PR
1137,DROGARIA MAIS ECONOMICA S.A.,RUA DR. LEGENDRE 536 SALA 03,PAROBE,RS
1138,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"Rua XV de Novembro, 472 - Lj 04",BLUMENAU,SC
1139,FARMACIA DANAFARMA LTDA,"MARECHAL DEODORO, Nº 1077",CURITIBA,PR
1140,ORAIDE ALBARELLO DA SILVA & CIA LTDA,"RUA JOSE DO PATROCINIO, 243, SALA 01",PALMITINHO,RS
1141,FARMACIA MATO GROSSO LTDA - ME,"AVENIDA SAO JOAO, 305 - SALA 03",PRIMAVERA DO LESTE,MT
1142,ASSOCIACAO BENEFICIENTE OURO BRANCO,rua SANTOS DUMOND 515,TEUTONIA,RS
1143,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA JOAO CORREA Nº1226,SAPIRANGA,RS
1144,FARMACIA E DROGARIA NISSEI LTDA,AVENIDA SAMPAIO VIDAL 649,MARILIA,SP
1145,NILSON RODRIGUES,"AVENIDA INT MANOEL RIBAS, 995",ROLANDIA,PR
1146,KELLY JULIANA SEIBT BENDER E CIA LTDA - EPP,"AVENIDA JULIO DE CASTILHOS, 1290 - SALA 101",TRES PASSOS,RS
1147,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"BORGES DE MEDEIROS, 2506",GRAMADO,RS
1148,FARMACIA FARMABENE LTDA ME,"R JOSE CUSTODIO, 501",IBITINGA,SP
1149,DROGARIA NOSSA SENHORA DA CONCEICAO LTDA,AVENIDA FRANCISCO TREIN 527,PORTO ALEGRE,RS
1150,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA DOS ANDRADAS, 1151 - LOJA 01",PORTO ALEGRE,RS
1151,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA DOS ANDRADAS, 16-20",SANTANA DO LIVRAMENTO,RS
1152,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,AV DO BATEL 1868 LOJA 334,CURITIBA,PR
1153,DROGARIA MEGAFARMA LTDA,"RUA SOLON RODRIGUES PESSOA, Nº 1080",BOA VISTA,RR
1154,MARCUS V F DAGOSTINI - EPP,"AVENIDA SANTA CATARINA, 705 - SALA 01",SAO CARLOS,SC
1155,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA AFONSO PENA, 2482",CAMPO GRANDE,MS
1156,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA GASPAR MARTINS N° 322,ALEGRETE,RS
1157,DROGARIA SOUZA COSTA LTDA - EPP,av PRES J K DE OLIVEIRA 1173 1179,PORTO ALEGRE,RS
1158,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA PARAGUASSU, 1984",CAPAO DA CANOA,RS
1159,DROGARIA E FARMÁCIA CATARINENSE S/A,"RUA DOS AIMORES, Nº 238",JOINVILLE,SC
1160,DISTRIBUIDORA BIG BENN LTDA,"av DJALMA DUTRA, 1972",ALTAMIRA,PA
1161,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA LUIZ BARRETO, 551 - LOJA 01",TRIUNFO,RS
1162,DISTRIBUIDORA BIG BENN LTDA,"RODOVIA DO TAPANÃ, 01",BELEM,PA
1163,JULIO RODRIGUES O JULIFAR EPP,"AVENIDA CANTORIO FLORENTINO DA SILVA, S/N",CANELINHA,SC
1164,ORLANDO JOSE CANALI,"BRASIL, 1583, SALA",RONDON,PR
1165,MARCIO DANIEL GUARIDO ME,"GETULIO VARGAS, 505",ALVINLANDIA,SP
1166,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV AFONSO PENA 518,LAGOA VERMELHA,RS
1167,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. BRASIL Nº 3025 SALA 01,CAMPO BOM,RS
1168,FARMACIA SÃO LUCA LTDA,RUA CLEVELÂNDIA N°119-E,CHAPECO,SC
1169,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA GETÚLIO VARGAS, 174",SAO LUIS,MA
1170,RELUFARMA COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA ME,"ALBERT EISTEN, 727",LONDRINA,PR
1171,DISTRIBUIDORA BIG BENN LTDA,"AV DR MIGUEL DE STA BRIGIDA, S/N QUADRA 77",BELEM,PA
1172,FARMADAM COMERCIO DE MEDICAMENTOS LTDA - ME,RUA CRUZEIRO DO SUL 485,CURITIBA,PR
1173,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA NILOPOLIS Nº 543 LOJAS 5 E 6,PORTO ALEGRE,RS
1174,FARMACIA IMPERIAL LTDA - EPP,"RUA CONSELHEIRO PEDREIRA, 311",JOINVILLE,SC
1175,ZILES & AZEVEDO LTDA - ME,"AV TANCREDO NEVES, 3363, QD 19 LT 08 SALA-A",SAO FRANCISCO DO GUAPORE,RO
1176,ILCA T DE O ANDELIERI & CIA LTDA - EPP,"RUA OSVALDO KROEFF, 100 - SALA 03",CAMBARA DO SUL,RS
1177,S M DE OLIVEIRA - ME,"AVENIDA BEIJA-FLOR, 19 - QUADRA 26",TUCURUI,PA
1178,DROGARIA JAQUELINE LTDA ME,"AVENIDA UNIVERSITARIA, SN",CRICIUMA,SC
1179,BETAFARMA COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA - EPP,"RUA PADRE FEIJO, 708, PREDIO",SAO MARCOS,RS
1180,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA VISCONDE DE MAUA, 383",ARROIO GRANDE,RS
1181,FARMACIA FARMAGIL LTDA,"RUA MARIA ANT. DOS SANTOS, 494",PIRAQUARA,PR
1182,FARMACIA HERVAL LTDA,"AV XV DE NOVEMBRO, 276, SALA 02",JOACABA,SC
1183,DROGARIA MAIS ECONOMICA S.A.,AVENIDA DORIVAL CANDIDO LUZ OLIVEIRA 5360,GRAVATAI,RS
1184,FUENTES & CIA LTDA,"AV. PEROLA BYINGTON, 1004, ESQUINA",PEROLA,PR
1185,NERI PEDERSSETTI ME,"AVENIDA SETE DE SETEMBRO, 583 - SALA",GALVAO,SC
1186,CELSO RENATO DOS SANTOS,"IGUACU, 122",CAPITAO LEONIDAS MARQUES,PR
1187,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA RIO GRANDE, 91A",RIO GRANDE,RS
1188,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA JULIO DE CASTILHOS, 702 - LOJA 01",LAJEADO,RS
1189,FARMACIA BELIAFARMA LTDA,"RUA AMOR PERFEITO, Nº 1826",CORBELIA,PR
1190,VALDEIR CAPELASSO ME,"AV BRASIL,257",IGUARACU,PR
1191,ADAUTO DOMINGUES DE OLIVEIRA & CIA LTDA,"RUA BRIGADEIRO FARIA LIMA, 782",FRANCISCO ALVES,PR
1192,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA EBANO PEREIRA, 27 - LOJA 02",CURITIBA,PR
1193,NORA & CIA LTDA,"BARAO DO RIO BRANCO, 1100, SALA 01",CACADOR,SC
1194,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA GETULIO DORNELLES VARGAS, 359-N",CHAPECO,SC
1195,SILVEIRA & CAMPOS LTDA - ME,"RUA NIVALDO DA CONCEICAO GUTIERREZ, 201 - ESQ. C/ JERICO",BOA VISTA,RR
1196,DROGARIA MAIS ECONOMICA LTDA,"RUA SALDANHA MARINHO, 459",BENTO GONCALVES,RS
1197,ELISA OTILIA SAGRADO BOGAZ BENEZ - ME,"AVENIDA EUCLIDES DA CUNHA, Nº 843",IRAPURU,SP
1198,DROGARIA HORTENCIO LTDA,AV PRESIDENTE LUCENA,IVOTI,RS
